ISIN,Asset Class,Sub Asset Class,Sub Asset Class (PowerPoint),Benchmark,Fund Name,Fund Type,Geographic Focus,Legal Structure,Domicile,Domicle Code,Launch Date,Currency,Fund Company,Portfolio Manager,Custodian,Minimum Initial Investment,Minimum Regular Investment,Minimum Irregular Investment,Income Distribution Indicator,Ex Dividend Date,Dividend Payment,Number Of Dividend Payment Per Year,Objective,Minimum Initial Charge,Maximum Initial Charge,Current Initial Charge,Minimum Annual Charge,Maximum Annual Charge,Current Annual Charge,Minimum Redemption Charge,Maximum Redemption Charge,Current Redemption Charge,Classification Scheme Name,Classification Sector Scheme,Cross Reference ID Type,Identifier Type,Total Expense Ratio,Total Expense Ratio Date,Projected Yield,Benchmark Type,Benchmark Name,Benchmark Instrument Code,Benchmark Instrument RIC,NAV,Is NAV Estimated Flag,Bid,Is Bid Estimated Flag,Mid,Is Mid Estimated Flag,Offer,Is Offer Estimated Flag,Total Net Assets
IE00B5BMR087,Equity,Large Cap Core,US LARGE CAP BLEND, S&P 500 TR,iShares Core S&P 500 UCITS ETF USD (Acc),Equity,United States of America,ICVC,Ireland,IRL,5/19/2010,USDollar,BlackRock Asset Management Ireland Limited,Company Managed  ,State Street Custodial Services (Ireland) Ltd,,,,Retained,,,,"The investment objective of the Fund is to deliver the net total return performance of the Benchmark Index (being the S&P 500 Index), less the fees and expenses of the Fund. The Index measures the performance of 500 stocks from top US companies in leading industries of the US economy which comply with S&Ps size, liquidity and free float criteria.",,,,,,0.07,,,,Lipper Global,Equity US,ISIN Code,IE00B5BMR087,0.07,2/3/2021,,AssetManager,S&P 500 TR,11000696,.SPXTR,446.5254,1,,,,,,,48688788446
LU0210535976,Equity,Small Cap Core,US SMALL CAP, Russell 2000 TR,JPM US Small Cap Growth A Acc USD,Equity,United States of America,LU - SICAV - Part 1,Luxembourg,LUX,3/31/2005,USDollar,JPMorgan Asset Management (Europe) SARL,"Eytan Shapiro, Timothy Parton",JP Morgan Bank Luxembourg SA,35000,,5000,Retained,,,,"To provide long-term capital growth by investing primarily in a growth style biased portfolio of small capitalisation US companies. At least 67% of the Sub-Fund's assets will be invested in a growth style biased portfolio of equity securities of small capitalisation companies that are domiciled in, or carrying out the main part of their economic activity in, the US. Market capitalisation is the total value of a company's shares and may fluctuate materially over time. Small capitalisation companies are those whose market capitalisation is within the range of the market capitalisation of companies in the Benchmark for the Sub-Fund at the time of purchase. The Sub-Fund may also invest in Canadian companies.",,5,5,,1.5,1.5,,0.5,0.5,Lipper Global,Equity US Sm&Mid Cap,ISIN Code,LU0210535976,1.77,6/30/2020,,AssetManager,Russell 2000 Growth TR,11020361,.RUOTRI,55.94,0,55.66,0,,,58.74,0,290641962.3
IE00BH4GXR02,Equity,Small Cap Core,US SMALL CAP, Russell 2000 TR,Virtus GF US Small Cap A USD,Equity,United States of America,OEIC,Ireland,IRL,10/15/2014,USDollar,Virtus Investment Partners Inc,Todd Beiley,BNY Mellon Trust Company (Ireland) Limited,5000,,,Retained,,,,"The Fund seeks to achieve long term capital growth. Usually, the Fund will invest primarily (at least 67% of net assets) in Equities of Small Cap Companies located in the United States and across industry sectors. The Small Cap Companies may be of any industry sector and the Fund will hold securities from approximately 15 to 35 different issuers at any given time.",,,,,,0.8,,,,Lipper Global,Equity US Sm&Mid Cap,ISIN Code,IE00BH4GXR02,2,2/19/2021,,AssetManager,Index is not provided by Management Company,11000006,,29.73,1,,,,,,,158302014.7
IE00B64QTZ34,Equity,Small Cap Core,US SMALL CAP, Russell 2000 TR,Neuberger Berman US Small Cap USD A Acc,Equity,United States of America,ICVC,Ireland,IRL,7/5/2011,USDollar,Neuberger Berman Investment Funds PLC,"Brett Reiner, Gregory Spiegel, Judith Vale, Robert D'Alelio",Brown Brothers Harriman Trustee Svcs (Ireland) Ltd,1000,,,Retained,,,,"The Fund aims to increase the value of your shares by investing in smaller US companies that are financially secure and good growth prospects. These companies are typically valued at less than US$3 billion, or companies that are within the universe of the Russell 2000 index, and will be across a wide range of companies and industry sections. These companies will be publicly traded US and foreign companies that conduct most of their business in the US or are headquartered in the US",,5,,,1.7,1.7,,,0,Lipper Global,Equity US Sm&Mid Cap,ISIN Code,IE00B64QTZ34,1.83,3/31/2021,,AssetManager,Russell 2000 TR,11000693,.RUTTR,28.96,1,,,,,,,188596397.4
IE00B3VWM098,Equity,Small Cap Core,US SMALL CAP, Russell 2000 TR,iShares MSCI USA Small Cap UCITS ETF USD (Acc),Equity,United States of America,ICVC,Ireland,IRL,7/1/2009,USDollar,BlackRock Asset Management Ireland Limited,Company Managed  ,State Street Custodial Services (Ireland) Ltd,,,,Retained,,,,"The investment objective of the Fund is to replicate the performance of the Benchmark Index (being the MSCI USA Small Cap Index), less the fees and expenses of the Fund. The Index measures the performance of small capitalisation stocks of the US equity market which comply with MSCI's size, liquidity, and free-float criteria.",,,,,,,,,,Lipper Global,Equity US Sm&Mid Cap,ISIN Code,IE00B3VWM098,0.43,2/3/2021,,AssetManager,MSCI US Small Cap NR USD,11011208,,491.5093,1,,,,,,,1179825840
LU0807689079,Equity,European Equities,EUROPE LARGE CAP, MSCI Europe NR,Carmignac Pfl Grande Europe A USD acc Hdg,Equity,Europe,LU - SICAV - Part 1,Luxembourg,LUX,7/20/2012,USDollar,Carmignac Gestion Luxembourg SA,Mark Denham,BNP Paribas Securities Services Luxembourg Branch,1,1,1,Retained,,,,"The objective of the sub-fund is to achieve long-term capital growth by investing its assets mainly in equities of European Union Member States and, on a supplementary basis, in equities of non-EU Member States or candidates for accession and Russia. Investments in Russia are made through the London Stock Exchange, and to a lesser extent on the Moscow Exchange MICEX-RTS. The sub-fund invests in these securities directly or indirectly through the UCITS that it holds, bearing in mind that investment in UCITS is limited to 10% of the sub-funds net assets.",,4,,,,1.5,,,0,Lipper Global,Equity Europe,ISIN Code,LU0807689079,1.8,12/31/2020,,AssetManager,STOXX Europe 600 NR EUR,11008481,.STOXXR,245.49,1,,,,,,,1655291.97
LU0769137737,Equity,European Equities,EUROPE LARGE CAP, MSCI Europe NR,BGF Continental European Flexible A2 USD,Equity,Europe exc UK,LU - SICAV - Part 1,Luxembourg,LUX,4/5/2012,USDollar,BlackRock (Luxembourg) SA,Giles Rothbarth,Bank of New York Mellon SA/NV (Luxembourg Branch),5000,,1000,Retained,,,,"The Fund seeks to maximise total return. It invests at least 70% of its total assets in the equity securities of companies domiciled in, or exercising the predominant part of their economic activity in Europe excluding the UK.",,5,5,,2.25,1.5,,2,0,Lipper Global,Equity Europe ex UK,ISIN Code,LU0769137737,1.81,12/31/2020,,AssetManager,FTSE World Europe ex UK TR EUR,11026427,.TFTWIEXUKSE,52,0,,,,,,,
LU1856138950,Equity,European Equities,EUROPE LARGE CAP, MSCI Europe NR,Jupiter European Growth A USD Acc HSC,Equity,Europe,LU - SICAV - Part 1,Luxembourg,LUX,8/31/2018,USDollar,Jupiter Asset Management International SA,"Mark Heslop, Mark Nichols",JP Morgan Bank Luxembourg SA,5000,,,Retained,,,,"The Fund will invest primarily in equity and equity related securities (including listed preference shares, listed convertible unsecured loan stock, listed warrants and other similar securities) of issuers which have their registered office in Europe or exercise the predominant part of their economic activities in Europe (including UK) and which are considered by the Investment Manager to be undervalued or otherwise to offer good prospects for capital growth. The Investment Manager will adopt a primarily bottom up approach to selecting investments for the Fund.",,5,,,1.8,,,,0,Lipper Global,Equity Europe,ISIN Code,LU1856138950,2.02,9/30/2020,,AssetManager,FTSE World Europe TR EUR,11026239,,13.92,0,,,,,,,7010059.324
IE00BWZN1T31,Equity,European Equities,EUROPE LARGE CAP, MSCI Europe NR,iShares MSCI EMU USD Hedged UCITS ETF (Acc),Equity,EuroZone,ICVC,Ireland,IRL,6/30/2015,USDollar,BlackRock Asset Management Ireland Limited,Company Managed  ,State Street Custodial Services (Ireland) Ltd,,,,Retained,,,,"The investment objective of the Fund is to deliver the net total return performance of the Benchmark Index (being the MSCI EMU 100% Hedged to USD Index), less the fees and expenses of the Fund. The Index measures the performance of the MSCI EMU with currency exposures hedged to US Dollar using one-month currency forwards according to the MSCI methodology.",,,,,,,,,,Lipper Global,Equity EuroZone,ISIN Code,IE00BWZN1T31,0.38,2/3/2021,,AssetManager,MSCI EMU Hedged USD,11045549,,8.0391,1,,,,,,,233136573.4
LU0927678507,Equity,Japan Equities,JAPAN, Topix TR,JPM Japan Equity A Acc USD Hgd,Equity,Japan,LU - SICAV - Part 1,Luxembourg,LUX,12/6/2013,USDollar,JPMorgan Asset Management (Europe) SARL,"Miyako Urabe, Nicholas Weindling, Shoichi Mizusawa",JP Morgan Bank Luxembourg SA,35000,,5000,Retained,,,,"To provide long-term capital growth by investing primarily in Japanese companies. At least 67% of assets invested in equities of companies that are domiciled, or carrying out the main part of their economic activity, in Japan. The Sub-Fund may invest in small capitalisation companies.",,5,5,,1.5,1.5,,0.5,0.5,Lipper Global,Equity Japan,ISIN Code,LU0927678507,1.8,6/30/2020,,AssetManager,TOPIX Total Return USD Daily Hedged Index,11056825,,242.15,0,240.94,0,,,254.26,0,173184044.1
IE0003001538,Equity,Japan Equities,JAPAN, Topix TR,GAM Star Japan Leaders USD A Acc,Equity,Japan,ICVC,Ireland,IRL,12/2/1998,USDollar,GAM Fund Management Limited,"Ernst Glanzmann, Reiko Mito",State Street Custodial Services (Ireland) Ltd,10000,,5000,Retained,7/1/2021,0,1,The investment objective of the Fund is to achieve capital appreciation.The Fund seeks to achieve this objective by investing primarily in quoted equity securities (e.g. shares) of companies which have principal offices in Japan.,,5,,,,1.1,,,0,Lipper Global,Equity Japan,ISIN Code,IE0003001538,1.81,2/19/2021,,AssetManager,Topix TR,11020028,.TOPXDV,25.9278,1,,,,,,,
LU0976556935,Equity,Japan Equities,JAPAN, Topix TR,Janus Henderson HF Japanese Smr Cos A2 HUSD,Equity,Japan,LU - SICAV - Part 1,Luxembourg,LUX,3/13/2015,USDollar,Henderson Management SA,Yun Young-Lee,BNP Paribas Securities Services Luxembourg Branch,2500,,500,Retained,,,,"The Fund aims to provide capital growth. The Fund invests at least two-thirds of its total assets in: equity or equity related securities of smaller Japanese companies in any industry. The Fund may also invest in: Money market instruments, Bank deposits.",,5,,,1.5,1.2,0,1,,Lipper Global,Equity Japan Sm&Mid Cap,ISIN Code,LU0976556935,1.88,9/30/2020,,AssetManager,Russell/Nomura Small Cap TR JPY,11025480,.RNSMALLJPTR,54.62,0,,,,,,,3776139.267
IE00B4L5YX21,Equity,Japan Equities,JAPAN, Topix TR,iShares Core MSCI Japan IMI UCITS ETF USD Acc,Equity,Japan,ICVC,Ireland,IRL,9/25/2009,USDollar,BlackRock Asset Management Ireland Limited,Company Managed  ,State Street Custodial Services (Ireland) Ltd,,,,Retained,,,,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the MSCI Japan Investable Market Index (IMI). The Index measures the performance of large, mid and small capitalisation stocks of the Japanese equity market which comply with MSCI's size, liquidity, and free-float criteria.",,,,,,0.15,,,,Lipper Global,Equity Japan,ISIN Code,IE00B4L5YX21,0.15,1/27/2021,,AssetManager,MSCI Japan IMI TR,11047402,,50.8362,1,,,,,,,4465636865
LU0815263628,Equity,Emerging Market,GLOBAL EMERGING MARKETS, MSCI Emerging Markets NR,MS INVF Emerging Leaders Equity A USD,Equity,Global Emerging Markets,LU - SICAV - Part 1,Luxembourg,LUX,8/17/2012,USDollar,MSIM Fund Management (Ireland) Ltd,Vishal Gupta,JP Morgan Bank Luxembourg SA,0,,,Retained,,,,"The Emerging Leaders Equity Funds investment objective is to seek long term capital appreciation, measured in US Dollars, through investment primarily in a concentrated portfolio of equity securities in emerging and frontier countries.",,5.75,,,,1.9,,,0,Lipper Global,Equity Emerging Mkts Global,ISIN Code,LU0815263628,2.19,12/31/2020,,AssetManager,MSCI EM (Emerging Markets) NR USD,11013472,.dMIEF00000NUS,54.46,0,54.46,0,,,54.46,0,321553900
LU0210529656,Equity,Emerging Market,GLOBAL EMERGING MARKETS, MSCI Emerging Markets NR,JPM Emerging Markets Equity A Acc USD,Equity,Global Emerging Markets,LU - SICAV - Part 1,Luxembourg,LUX,3/31/2005,USDollar,JPMorgan Asset Management (Europe) SARL,"Leon Eidelman, Austin Forey",JP Morgan Bank Luxembourg SA,35000,,5000,Retained,5/3/2010,0,,"To provide long-term capital growth by investing primarily in emerging market companies. At least 67% of assets invested in equities of companies that are domiciled, or carrying out the main part of their economic activity, in an emerging market country. The Sub-Fund may invest up to 20% of its assets in China A-Shares through the China-Hong Kong Stock Connect Programmes.",,5,5,,1.5,1.5,,0.5,0.5,Lipper Global,Equity Emerging Mkts Global,ISIN Code,LU0210529656,1.73,6/30/2020,,AssetManager,MSCI EM (Emerging Markets) NR USD,11013472,.dMIEF00000NUS,40.07,0,39.87,0,,,42.07,0,730318487.6
LU0011850046,Equity,Emerging Market,GLOBAL EMERGING MARKETS, MSCI Emerging Markets NR,BGF Global Long-Horizon Equity A2 USD,Equity,Global,LU - SICAV - Part 1,Luxembourg,LUX,2/29/1996,USDollar,BlackRock (Luxembourg) SA,"Andrew Wheatley Hubbard, Molly Greenen",Bank of New York Mellon SA/NV (Luxembourg Branch),5000,,1000,Retained,,,,"This fund seeks to maximise total return.It invests globally, with no prescribed country, regional or capitalisation limits, at least 70% of its total assets in equity securities. Currency exposure is flexibly managed. The Fund may use derivatives for investment purposes and for the purposes of efficient portfolio management.",,5,,,,1.5,,2,,Lipper Global,Equity Global,ISIN Code,LU0011850046,1.81,12/31/2020,,AssetManager,MSCI AC World NR USD,11012184,.dMIWD00000NUS,95.11,0,,,,,,,713049284.7
IE00B4L5YC18,Equity,Emerging Market,GLOBAL EMERGING MARKETS, MSCI Emerging Markets NR,iShares MSCI EM UCITS ETF USD (Acc),Equity,Global Emerging Markets,ICVC,Ireland,IRL,9/25/2009,USDollar,BlackRock Asset Management Ireland Limited,Company Managed  ,State Street Custodial Services (Ireland) Ltd,,,,Retained,,,,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the MSCI Emerging Markets Index. The Index measures the performance of large and mid capitalisation stocks across Emerging Market countries which comply with MSCI's size, liquidity, and free-float criteria.",,,,,,,,,,Lipper Global,Equity Emerging Mkts Global,ISIN Code,IE00B4L5YC18,0.18,1/27/2021,,AssetManager,MSCI EM (Emerging Markets) NR USD,11013472,.dMIEF00000NUS,42.5865,1,,,,,,,1226493111
LU0210526801,Equity,Asia Ex-Japan,GREATER CHINA, MSCI Golden Dragon NR,JPM Greater China A Acc USD,Equity,Greater China,LU - SICAV - Part 1,Luxembourg,LUX,3/31/2005,USDollar,JPMorgan Asset Management (Europe) SARL,"Howard Wang, Rebecca Jiang",JP Morgan Bank Luxembourg SA,35000,,5000,Retained,5/3/2010,0,,"To provide long-term capital growth by investing primarily in companies from the People's Republic of China, Hong Kong and Taiwan (""Greater China""). At least 67% of assets invested in equities of companies that are domiciled, or carrying out the main part of their economic activity, in Greater China. The Sub-Fund may invest in small capitalisation companies and have significant positions in specific sectors or markets from time to time.",,5,5,,1.5,1.5,,0.5,0.5,Lipper Global,Equity Greater China,ISIN Code,LU0210526801,1.79,6/30/2020,,AssetManager,MSCI Golden Dragon NR USD,11015232,.dMIGD00000NUS,66.48,0,66.15,0,,,69.8,0,560642352.2
LU1146622755,Equity,Asia Ex-Japan,GREATER CHINA, MSCI Golden Dragon NR,AS SICAV I - China A Share Equity A Acc USD,Equity,China,LU - SICAV - Part 1,Luxembourg,LUX,3/16/2015,USDollar,Aberdeen Standard Investments Luxembourg SA,Team Managed: Asia Pacific Equity Team,BNP Paribas Securities Services Luxembourg Branch,1000,,,Retained,,,,"To achieve long term total return by investing, directly or indirectly (including through QFII, RQFII, the Shanghai-Hong Kong and Shenzhen-Hong Kong Stock Connect programmes, participatory notes, equity linked notes and any other eligible means), at least two-thirds of its total assets in equity and equity-related securities of companies whose securities are listed on Chinese Stock Exchanges, including, without limitation, China A-Shares and B-Shares of companies listed on the Chinese Stock Exchanges or other equivalent securities authorised by the China Securities Regulatory Commission for purchase by non-Chinese investors. The Fund is actively managed. The Fund aims to outperform the MSCI China A Index (USD) benchmark before charges. The benchmark is also used as a reference point for portfolio construction and as a basis for setting risk constraints. In order to achieve its objective, the Fund will take positions whose weightings diverge from the benchmark or invest in securities which are not included in the benchmark.",,5,,,,1.75,,,0,Lipper Global,Equity China,ISIN Code,LU1146622755,1.97,6/30/2021,,AssetManager,MSCI China A Onshore TR,11028788,.dMICNA0000G,22.5919,0,,,,,,,499704800
LU0721876364,Equity,Asia Ex-Japan,GREATER CHINA, MSCI Golden Dragon NR,Matthews Asia Fds-China Small Companies A Acc USD,Equity,Greater China,LU - SICAV - Part 1,Luxembourg,LUX,2/29/2012,USDollar,Carne Global Fund Managers Luxembourg SA,"Andrew Mattock, Winnie Chwang",Brown Brothers Harriman (Luxembourg) SCA,1000,,100,Retained,,,,"The Sub-Fund's investment objective is to achieve long-term capital appreciation. The Sub-Fund seeks to achieve its investment objective by investing, directly or indirectly,(i.e., at least 65% of its total net assets) in equities of small companies located in or with Substantial Ties to China. For the purpose of this Sub-Fund: China includes the Peoples Republic of China, its administrative and other districts, such as Hong Kong, as well as Taiwan.",,5.26,,,1.5,1.5,,,0,Lipper Global,Equity China Small & Mid Cap,ISIN Code,LU0721876364,2.01,3/31/2021,,AssetManager,MSCI China Small Cap TR USD,11032768,,37.51,0,,,,,,,117790500
LU0133713346,Equity,Asia Ex-Japan,ASIA EX JAPAN, MSCI AC Asia Ex JPN NR,Schroder ISF Asian Opportunities A1 Acc,Equity,Asia (ex-Japan),LU - SICAV - Part 1,Luxembourg,LUX,1/11/2002,USDollar,Schroder Investment Management Europe SA,Toby Hudson,JP Morgan Bank Luxembourg SA,1000,,1000,Retained,,,,The Fund aims to provide capital growth by investing in equity and equity related securities of Asian companies (excludingJapan). It also invests at least two-thirds of its assets in equity and equity related securities of Asian companies (excluding Japan).,,4,4,,1.5,,,,0,Lipper Global,Equity Asia Pacific ex Japan,ISIN Code,LU0133713346,2.35,12/31/2020,,AssetManager,MSCI AC Asia ex Japan NR USD,11014608,.dMIAX00000NUS,24.4304,0,24.4304,0,,,25.4483,0,109531040.9
